Timestamp,YearMonth,UPN,AppName,ActionType,PolicyHit,PolicyAction,IPAddress,CountryCode,EventCount
2026-06-17T20:56:23Z,2026-06,zoey.frye@contoso.com,Perplexity,Download,FALSE,Warn,13.64.19.7,US,91
2026-05-11T06:42:36Z,2026-05,beth.quinn@contoso.com,DeepSeek,Login,TRUE,Warn,13.64.65.43,GB,176
2025-11-02T11:35:46Z,2025-11,ella.hart@contoso.com,ChatGPT,Login,TRUE,Allow,13.64.31.103,IE,103
2026-06-11T00:22:20Z,2026-06,tina.wynn@contoso.com,Claude,Download,FALSE,Block,13.64.158.40,DE,83
2026-04-09T09:16:48Z,2026-04,dora.judd@contoso.com,ChatGPT,Share,FALSE,Block,13.64.239.43,IE,125
2026-01-10T08:50:01Z,2026-01,zane.voss@contoso.com,DeepSeek,Upload,FALSE,Block,13.64.169.243,IE,146
2026-05-05T22:38:20Z,2026-05,drew.shaw@contoso.com,Gemini,Login,FALSE,Allow,13.64.8.163,IE,336
2026-03-24T17:15:49Z,2026-03,finn.nash@contoso.com,Claude,Share,FALSE,Block,13.64.151.56,IE,367
2026-06-18T04:07:19Z,2026-06,iris.lund@contoso.com,DeepSeek,Share,TRUE,Warn,13.64.236.145,DE,375
2025-12-24T16:47:44Z,2025-12,zane.voss@contoso.com,DeepSeek,Login,FALSE,Allow,13.64.197.108,IE,315
2025-12-24T18:37:25Z,2025-12,fern.lowe@contoso.com,Claude,Share,FALSE,Allow,13.64.194.205,GB,379
2026-02-02T09:14:02Z,2026-02,zoey.frye@contoso.com,Perplexity,Download,FALSE,Warn,13.64.66.14,GB,263
2026-05-04T05:16:14Z,2026-05,vera.bose@contoso.com,Gemini,Share,FALSE,Block,13.64.43.86,IE,201
2025-12-09T16:45:42Z,2025-12,bella.hobbs@contoso.com,Perplexity,Upload,FALSE,Warn,13.64.43.10,IE,273
2026-01-09T05:47:35Z,2026-01,yara.adler@contoso.com,Claude,Share,TRUE,Warn,13.64.226.91,AU,3
2026-05-04T15:05:35Z,2026-05,vlad.boyd@contoso.com,Midjourney,Share,FALSE,Allow,13.64.37.143,AU,423
2025-10-06T16:12:40Z,2025-10,tom.frey@contoso.com,Claude,Download,FALSE,Allow,13.64.120.43,IE,344
2026-02-24T21:15:52Z,2026-02,fern.lowe@contoso.com,Gemini,Upload,TRUE,Allow,13.64.153.88,GB,169
2025-11-08T12:23:03Z,2025-11,mason.cruz@contoso.com,Gemini,Login,FALSE,Warn,13.64.85.2,CA,12
