UserPrincipalName,YearMonth,TeamsPrompts,WordPrompts,ExcelPrompts,OutlookPrompts,PowerPointPrompts,ChatPrompts,TotalPrompts,ActiveDays,LastActivityDate
alex.park@contoso.com,2025-10,99,55,132,179,4,133,657,27,2025-10-27
alex.park@contoso.com,2025-09,30,95,147,103,125,124,755,27,2025-09-27
alex.park@contoso.com,2026-01,42,186,148,60,150,148,858,27,2026-01-27
alex.park@contoso.com,2025-11,65,193,69,10,157,8,693,26,2025-11-27
beth.quinn@contoso.com,2026-02,76,34,128,34,142,118,682,26,2026-02-27
beth.quinn@contoso.com,2026-05,56,184,65,190,20,150,770,27,2026-05-27
beth.quinn@contoso.com,2025-12,192,10,117,118,146,12,742,27,2025-12-27
beth.quinn@contoso.com,2025-10,22,19,166,200,82,93,701,26,2025-10-27
beth.quinn@contoso.com,2026-04,95,17,59,89,108,50,538,27,2026-04-27
beth.quinn@contoso.com,2025-11,150,131,48,167,132,198,879,27,2025-11-27
bria.lee@contoso.com,2026-03,151,194,165,68,116,120,992,27,2026-03-27
bria.lee@contoso.com,2026-01,164,181,158,31,8,121,738,26,2026-01-27
bria.lee@contoso.com,2026-06,102,9,1,135,100,153,637,27,2026-06-27
cole.page@contoso.com,2026-02,92,159,158,38,61,129,756,27,2026-02-27
cole.page@contoso.com,2026-06,177,66,30,8,179,200,812,27,2026-06-27
cole.page@contoso.com,2026-05,61,45,162,195,108,127,821,27,2026-05-27
cole.page@contoso.com,2026-01,6,107,91,162,74,118,674,26,2026-01-27
cory.vance@contoso.com,2025-11,178,33,132,6,173,81,764,27,2025-11-27
cory.vance@contoso.com,2025-09,194,42,101,163,64,171,816,27,2025-09-27
cory.vance@contoso.com,2025-10,164,103,114,13,1,183,734,27,2025-10-27
cory.vance@contoso.com,2026-01,37,44,4,68,150,174,591,27,2026-01-27
dana.cole@contoso.com,2025-12,44,148,131,135,22,178,747,27,2025-12-27
dana.cole@contoso.com,2026-06,170,127,84,11,65,5,596,27,2026-06-27
