UPN,AISolution,YearMonth,Sessions,ActiveDays,EstimatedPrompts,DistinctDevices,Category,RiskTier
alex.park@contoso.com,Microsoft 365 Copilot,2026-06,256,21,169,3,Productivity,Sanctioned
alex.park@contoso.com,Microsoft 365 Copilot,2026-01,3,1,1,3,Productivity,Sanctioned
alex.park@contoso.com,Microsoft 365 Copilot,2025-10,215,1,163,1,Productivity,Sanctioned
alex.park@contoso.com,Microsoft 365 Copilot,2026-02,212,3,124,2,Productivity,Sanctioned
alex.park@contoso.com,Claude,2026-06,20,5,2,2,General AI,Unsanctioned
alex.park@contoso.com,Claude,2025-09,55,8,3,3,General AI,Unsanctioned
alex.park@contoso.com,Claude,2025-10,96,11,53,2,General AI,Unsanctioned
alex.park@contoso.com,Claude,2025-12,328,22,186,1,General AI,Unsanctioned
alex.park@contoso.com,Claude,2025-11,257,21,33,3,General AI,Unsanctioned
alex.park@contoso.com,Gemini,2026-04,84,4,36,2,General AI,Unsanctioned
alex.park@contoso.com,Gemini,2025-09,88,2,43,3,General AI,Unsanctioned
alex.park@contoso.com,Gemini,2025-12,342,22,218,1,General AI,Unsanctioned
alex.park@contoso.com,Gemini,2025-10,291,14,208,3,General AI,Unsanctioned
bria.lee@contoso.com,Microsoft 365 Copilot,2025-11,298,4,127,3,Productivity,Sanctioned
bria.lee@contoso.com,Microsoft 365 Copilot,2026-02,166,5,13,3,Productivity,Sanctioned
bria.lee@contoso.com,Microsoft 365 Copilot,2026-03,118,9,49,1,Productivity,Sanctioned
bria.lee@contoso.com,Gemini,2025-11,157,7,17,3,General AI,Unsanctioned
bria.lee@contoso.com,Gemini,2025-10,232,9,78,1,General AI,Unsanctioned
bria.lee@contoso.com,Gemini,2025-09,128,15,82,1,General AI,Unsanctioned
cory.vance@contoso.com,Microsoft 365 Copilot,2026-03,263,11,221,3,Productivity,Sanctioned
cory.vance@contoso.com,Microsoft 365 Copilot,2025-10,114,5,24,2,Productivity,Sanctioned
cory.vance@contoso.com,Microsoft 365 Copilot,2026-06,304,3,112,3,Productivity,Sanctioned
cory.vance@contoso.com,Microsoft 365 Copilot,2025-11,244,13,108,1,Productivity,Sanctioned
cory.vance@contoso.com,Microsoft 365 Copilot,2026-02,357,13,204,1,Productivity,Sanctioned
cory.vance@contoso.com,GitHub Copilot,2026-05,290,11,232,3,Development,Sanctioned
cory.vance@contoso.com,GitHub Copilot,2025-11,321,15,153,1,Development,Sanctioned
cory.vance@contoso.com,GitHub Copilot,2026-01,155,21,24,3,Development,Sanctioned
cory.vance@contoso.com,GitHub Copilot,2025-09,272,13,201,1,Development,Sanctioned
cory.vance@contoso.com,GitHub Copilot,2025-10,350,17,211,2,Development,Sanctioned
cory.vance@contoso.com,DeepSeek,2026-03,17,13,14,2,General AI,Unsanctioned
cory.vance@contoso.com,DeepSeek,2025-09,192,15,72,3,General AI,Unsanctioned
dana.cole@contoso.com,Microsoft 365 Copilot,2025-09,351,7,262,3,Productivity,Sanctioned
dana.cole@contoso.com,Microsoft 365 Copilot,2026-03,288,4,12,1,Productivity,Sanctioned
dana.cole@contoso.com,Perplexity,2026-05,223,22,41,1,Search AI,Unsanctioned
dana.cole@contoso.com,Perplexity,2025-12,9,4,2,1,Search AI,Unsanctioned
dana.cole@contoso.com,Perplexity,2026-01,254,12,236,1,Search AI,Unsanctioned
dana.cole@contoso.com,Perplexity,2026-04,201,14,151,1,Search AI,Unsanctioned
dana.cole@contoso.com,Perplexity,2026-02,345,11,297,1,Search AI,Unsanctioned
dana.cole@contoso.com,Midjourney,2025-10,291,2,68,3,Image Generation,Unsanctioned
dana.cole@contoso.com,Midjourney,2026-01,24,18,1,3,Image Generation,Unsanctioned
dana.cole@contoso.com,Midjourney,2025-09,329,16,126,1,Image Generation,Unsanctioned
dana.cole@contoso.com,Claude,2026-03,260,6,236,3,General AI,Unsanctioned
dana.cole@contoso.com,Claude,2026-05,312,14,18,2,General AI,Unsanctioned
dana.cole@contoso.com,Claude,2025-12,251,16,178,1,General AI,Unsanctioned
dana.cole@contoso.com,Claude,2026-04,349,15,56,2,General AI,Unsanctioned
dana.cole@contoso.com,GitHub Copilot,2026-04,252,1,7,1,Development,Sanctioned
dana.cole@contoso.com,GitHub Copilot,2026-06,245,16,3,1,Development,Sanctioned
dana.cole@contoso.com,GitHub Copilot,2026-03,112,16,112,2,Development,Sanctioned
dana.cole@contoso.com,GitHub Copilot,2026-02,285,18,26,3,Development,Sanctioned
evan.reed@contoso.com,Microsoft 365 Copilot,2025-11,152,1,104,2,Productivity,Sanctioned
evan.reed@contoso.com,Microsoft 365 Copilot,2026-03,135,8,85,2,Productivity,Sanctioned
evan.reed@contoso.com,Gemini,2026-05,49,22,18,1,General AI,Unsanctioned
evan.reed@contoso.com,Gemini,2025-11,81,22,46,3,General AI,Unsanctioned
evan.reed@contoso.com,Gemini,2025-10,107,4,73,1,General AI,Unsanctioned
evan.reed@contoso.com,Gemini,2026-04,302,2,17,1,General AI,Unsanctioned
faye.diaz@contoso.com,Microsoft 365 Copilot,2026-03,31,19,25,2,Productivity,Sanctioned
faye.diaz@contoso.com,Microsoft 365 Copilot,2025-09,271,8,45,1,Productivity,Sanctioned
faye.diaz@contoso.com,Microsoft 365 Copilot,2026-05,314,7,72,2,Productivity,Sanctioned
faye.diaz@contoso.com,Microsoft 365 Copilot,2025-11,204,3,44,2,Productivity,Sanctioned
faye.diaz@contoso.com,Gemini,2026-04,140,10,66,2,General AI,Unsanctioned
faye.diaz@contoso.com,Gemini,2025-11,82,14,51,3,General AI,Unsanctioned
faye.diaz@contoso.com,Gemini,2026-06,193,21,57,2,General AI,Unsanctioned
faye.diaz@contoso.com,Gemini,2026-03,27,6,26,3,General AI,Unsanctioned
faye.diaz@contoso.com,Gemini,2025-12,391,3,130,3,General AI,Unsanctioned
faye.diaz@contoso.com,GitHub Copilot,2025-10,245,2,234,2,Development,Sanctioned
faye.diaz@contoso.com,GitHub Copilot,2026-05,269,9,257,3,Development,Sanctioned
faye.diaz@contoso.com,GitHub Copilot,2026-04,384,18,146,3,Development,Sanctioned
faye.diaz@contoso.com,GitHub Copilot,2026-03,87,1,6,2,Development,Sanctioned
gabe.khan@contoso.com,Microsoft 365 Copilot,2026-06,106,12,1,3,Productivity,Sanctioned
gabe.khan@contoso.com,Microsoft 365 Copilot,2025-12,336,4,8,3,Productivity,Sanctioned
gabe.khan@contoso.com,Microsoft 365 Copilot,2025-11,181,14,140,3,Productivity,Sanctioned
gabe.khan@contoso.com,Microsoft 365 Copilot,2025-09,169,7,91,3,Productivity,Sanctioned
gabe.khan@contoso.com,Gemini,2026-05,321,6,173,3,General AI,Unsanctioned
gabe.khan@contoso.com,Gemini,2026-06,226,14,130,1,General AI,Unsanctioned
gabe.khan@contoso.com,Gemini,2026-02,116,16,36,3,General AI,Unsanctioned
gabe.khan@contoso.com,Gemini,2026-03,39,12,17,2,General AI,Unsanctioned
gabe.khan@contoso.com,Gemini,2026-01,361,16,93,3,General AI,Unsanctioned
gabe.khan@contoso.com,Claude,2026-05,225,2,65,3,General AI,Unsanctioned
gabe.khan@contoso.com,Claude,2026-01,33,4,5,3,General AI,Unsanctioned
gabe.khan@contoso.com,Claude,2026-02,269,17,238,1,General AI,Unsanctioned
gabe.khan@contoso.com,Claude,2026-04,61,2,51,2,General AI,Unsanctioned
gabe.khan@contoso.com,Claude,2026-06,250,13,184,3,General AI,Unsanctioned
gabe.khan@contoso.com,ChatGPT,2026-06,129,1,38,1,General AI,Conditional
gabe.khan@contoso.com,ChatGPT,2025-10,378,7,205,3,General AI,Conditional
gabe.khan@contoso.com,ChatGPT,2026-02,237,22,163,2,General AI,Conditional
gabe.khan@contoso.com,ChatGPT,2025-09,103,10,103,1,General AI,Conditional
gabe.khan@contoso.com,Perplexity,2026-02,121,20,39,3,Search AI,Unsanctioned
gabe.khan@contoso.com,Perplexity,2025-11,369,13,121,3,Search AI,Unsanctioned
