userPrincipalName,displayName,department,jobTitle,city,country,companyName,accountEnabled,userType,createdDateTime,hasLicense,assignedLicenses,manager_displayName,manager_userPrincipalName
alex.park@contoso.com,Alex Park,HR,Lead,New York,US,Contoso Ltd,TRUE,Member,2022-04-22T08:00:00Z,TRUE,SPE_E5;Microsoft_365_Copilot,,
bria.lee@contoso.com,Bria Lee,HR,Director,Seattle,US,Contoso Ltd,TRUE,Member,2024-07-23T08:00:00Z,TRUE,SPE_E5;Microsoft_365_Copilot,,
cory.vance@contoso.com,Cory Vance,HR,Lead,Toronto,CA,Contoso Ltd,FALSE,Member,2024-02-06T08:00:00Z,TRUE,SPE_E5;Microsoft_365_Copilot,,
dana.cole@contoso.com,Dana Cole,HR,Lead,Seattle,US,Contoso Ltd,TRUE,Member,2022-07-20T08:00:00Z,TRUE,SPE_E5;Microsoft_365_Copilot,,
evan.reed@contoso.com,Evan Reed,Legal,Specialist,Toronto,CA,Contoso Ltd,TRUE,Guest,2023-07-07T08:00:00Z,TRUE,SPE_E5;Microsoft_365_Copilot,,
faye.diaz@contoso.com,Faye Diaz,Legal,Manager,Dublin,IE,Contoso Ltd,TRUE,Member,2023-01-03T08:00:00Z,TRUE,SPE_E5;Microsoft_365_Copilot,,
gabe.khan@contoso.com,Gabe Khan,Legal,Engineer,Toronto,CA,Contoso Ltd,TRUE,Member,2022-10-07T08:00:00Z,TRUE,SPE_E5;Microsoft_365_Copilot,Cory Vance,cory.vance@contoso.com
hana.wong@contoso.com,Hana Wong,Engineering,Engineer,New York,US,Contoso Ltd,TRUE,Member,2022-11-16T08:00:00Z,TRUE,SPE_E5;Microsoft_365_Copilot,Bria Lee,bria.lee@contoso.com
ivan.petrov@contoso.com,Ivan Petrov,Legal,Associate,Austin,US,Contoso Ltd,TRUE,Member,2022-06-11T08:00:00Z,TRUE,SPE_E5;Microsoft_365_Copilot,Evan Reed,evan.reed@contoso.com
jade.singh@contoso.com,Jade Singh,HR,Director,Seattle,US,Contoso Ltd,TRUE,Member,2025-03-24T08:00:00Z,TRUE,SPE_E5;Microsoft_365_Copilot,Dana Cole,dana.cole@contoso.com
kyle.brown@contoso.com,Kyle Brown,Engineering,Engineer,London,GB,Contoso Ltd,TRUE,Member,2023-12-01T08:00:00Z,TRUE,SPE_E5;Microsoft_365_Copilot,Cory Vance,cory.vance@contoso.com
lena.mori@contoso.com,Lena Mori,Finance,Lead,Berlin,DE,Contoso Ltd,TRUE,Member,2023-09-26T08:00:00Z,TRUE,SPE_E5;Microsoft_365_Copilot,Alex Park,alex.park@contoso.com
mason.cruz@contoso.com,Mason Cruz,IT,Engineer,Dublin,IE,Contoso Ltd,TRUE,Member,2024-07-11T08:00:00Z,TRUE,SPE_E5;Microsoft_365_Copilot,Faye Diaz,faye.diaz@contoso.com
nora.hale@contoso.com,Nora Hale,Sales,Lead,Dublin,IE,Contoso Ltd,TRUE,Member,2024-02-27T08:00:00Z,TRUE,SPE_E5;Microsoft_365_Copilot,Evan Reed,evan.reed@contoso.com
