UPN,YearMonth,TotalSessions,OffHoursSessions,OffHoursPct,DistinctCountries,AnomalousCountryCount,AnomalousCountries
priya.rao@contoso.com,2025-12,217,66,0.3041,4,0,
bria.lee@contoso.com,2026-04,262,154,0.5878,2,0,
faye.diaz@contoso.com,2025-11,119,24,0.2017,4,3,BY;KP;RU
ella.hart@contoso.com,2025-10,126,43,0.3413,1,0,
priya.rao@contoso.com,2025-10,270,253,0.937,3,2,CN;KP
jack.tate@contoso.com,2025-11,34,8,0.2353,1,0,
kara.yost@contoso.com,2026-03,100,56,0.56,3,1,CN
gwen.webb@contoso.com,2026-06,196,44,0.2245,4,0,
bella.hobbs@contoso.com,2026-04,170,57,0.3353,4,2,CN;IR
nora.hale@contoso.com,2025-11,298,242,0.8121,2,0,
bella.hobbs@contoso.com,2025-11,219,85,0.3881,3,2,CN;KP
hana.wong@contoso.com,2026-03,277,212,0.7653,4,2,CN;RU
yuki.egan@contoso.com,2026-01,48,9,0.1875,3,2,IR;CN
bella.hobbs@contoso.com,2025-10,51,18,0.3529,3,0,
bella.hobbs@contoso.com,2026-05,91,90,0.989,4,0,
vera.bose@contoso.com,2025-10,121,105,0.8678,3,0,
seth.vogt@contoso.com,2026-06,263,85,0.3232,2,0,
lena.mori@contoso.com,2026-05,136,84,0.6176,3,2,RU;BY
sara.bell@contoso.com,2025-09,82,24,0.2927,3,0,
fern.lowe@contoso.com,2026-06,214,66,0.3084,4,0,
xena.marsh@contoso.com,2025-09,162,75,0.463,4,3,KP;BY;RU
vera.bose@contoso.com,2025-10,67,22,0.3284,2,0,
gwen.webb@contoso.com,2026-06,236,234,0.9915,3,0,
cory.vance@contoso.com,2026-06,236,104,0.4407,2,1,RU
eli.kemp@contoso.com,2025-09,109,16,0.1468,2,0,
ivan.petrov@contoso.com,2025-11,278,82,0.295,2,0,
hana.wong@contoso.com,2026-02,148,130,0.8784,2,0,
fern.lowe@contoso.com,2025-12,182,10,0.0549,1,0,
jade.singh@contoso.com,2026-05,204,27,0.1324,1,0,
iris.lund@contoso.com,2025-11,208,14,0.0673,3,1,BY
jade.singh@contoso.com,2025-11,202,148,0.7327,4,0,
evan.reed@contoso.com,2025-09,230,81,0.3522,4,0,
ximena.dent@contoso.com,2025-10,147,35,0.2381,1,0,
ravi.iyer@contoso.com,2026-04,34,31,0.9118,4,2,KP;IR
uma.roy@contoso.com,2026-05,218,76,0.3486,4,2,IR;KP
fern.lowe@contoso.com,2026-04,71,10,0.1408,3,0,
will.toney@contoso.com,2025-11,290,268,0.9241,2,1,IR
sara.bell@contoso.com,2025-09,27,5,0.1852,2,0,
ivan.petrov@contoso.com,2025-11,148,123,0.8311,3,0,
dora.judd@contoso.com,2025-09,146,71,0.4863,3,0,
ella.hart@contoso.com,2026-04,154,33,0.2143,2,0,
holly.otto@contoso.com,2026-03,176,148,0.8409,3,0,
yuki.egan@contoso.com,2026-04,82,72,0.878,1,0,
wade.crum@contoso.com,2025-12,78,13,0.1667,3,2,RU;KP
holly.otto@contoso.com,2025-09,146,102,0.6986,2,0,
zane.voss@contoso.com,2026-06,245,23,0.0939,2,0,
ella.hart@contoso.com,2025-12,284,22,0.0775,3,0,
jack.tate@contoso.com,2026-05,202,172,0.8515,2,0,
iris.lund@contoso.com,2026-05,190,164,0.8632,3,1,IR
olga.pace@contoso.com,2026-03,60,39,0.65,1,0,
liam.beck@contoso.com,2025-12,263,232,0.8821,4,3,KP;RU;BY
yara.adler@contoso.com,2025-09,209,173,0.8278,4,2,BY;IR
adam.gore@contoso.com,2026-03,227,164,0.7225,1,0,
yuki.egan@contoso.com,2025-11,34,34,1.0,4,1,KP
gabe.khan@contoso.com,2026-06,8,6,0.75,3,1,RU
seth.vogt@contoso.com,2025-09,104,75,0.7212,1,0,
alex.park@contoso.com,2025-09,192,144,0.75,2,0,
jack.tate@contoso.com,2025-10,252,99,0.3929,4,0,
hugo.cano@contoso.com,2026-02,62,28,0.4516,2,0,
gabe.khan@contoso.com,2025-11,290,36,0.1241,2,1,CN
finn.nash@contoso.com,2026-05,223,215,0.9641,2,1,IR
kara.yost@contoso.com,2026-05,159,50,0.3145,3,0,
vera.bose@contoso.com,2026-01,18,16,0.8889,1,0,
ivan.petrov@contoso.com,2025-11,210,128,0.6095,3,0,
vlad.boyd@contoso.com,2025-09,211,206,0.9763,1,0,
vera.bose@contoso.com,2026-02,68,36,0.5294,3,0,
gabe.khan@contoso.com,2026-06,84,39,0.4643,1,0,
finn.nash@contoso.com,2025-10,17,12,0.7059,4,0,
ivan.petrov@contoso.com,2025-11,42,42,1.0,3,0,
tom.frey@contoso.com,2026-03,266,187,0.703,1,0,
mira.funk@contoso.com,2025-10,33,24,0.7273,4,0,
hugo.cano@contoso.com,2025-09,90,74,0.8222,1,0,
cory.vance@contoso.com,2026-02,291,278,0.9553,3,0,
evan.reed@contoso.com,2026-05,234,108,0.4615,2,0,
priya.rao@contoso.com,2025-09,186,91,0.4892,2,0,
priya.rao@contoso.com,2025-10,251,244,0.9721,3,0,
tom.frey@contoso.com,2026-04,239,201,0.841,4,0,
zoey.frye@contoso.com,2026-06,196,115,0.5867,4,0,
finn.nash@contoso.com,2025-10,127,51,0.4016,1,0,
holly.otto@contoso.com,2026-05,68,49,0.7206,1,0,
ian.pratt@contoso.com,2025-09,217,179,0.8249,2,0,
jack.tate@contoso.com,2026-02,210,30,0.1429,2,0,
caleb.ives@contoso.com,2025-09,34,34,1.0,3,1,RU
alex.park@contoso.com,2026-02,26,20,0.7692,1,0,
nora.hale@contoso.com,2025-10,270,26,0.0963,2,0,
