UPN,AppName,YearMonth,ConsentCount,LastConsent,PermissionWeight,Permissions
cole.page@contoso.com,Gemini,2026-06,2,2026-06-11T00:01:09Z,9,Mail.Read;Files.ReadWrite.All;Directory.Read.All
gabe.khan@contoso.com,DeepSeek,2026-04,5,2026-04-23T09:13:02Z,17,Files.ReadWrite.All;User.Read;Calendars.Read;Contacts.Read
tom.frey@contoso.com,Claude,2026-03,5,2026-03-23T11:40:20Z,13,Calendars.Read;Files.ReadWrite.All
gwen.webb@contoso.com,Perplexity,2026-01,3,2026-01-01T21:44:19Z,8,Calendars.Read
finn.nash@contoso.com,Perplexity,2026-02,4,2026-02-10T08:46:58Z,2,Directory.Read.All;Files.ReadWrite.All;offline_access;User.Read
noah.holt@contoso.com,Perplexity,2026-04,5,2026-04-14T13:02:25Z,9,Mail.Read
zane.voss@contoso.com,Claude,2025-12,1,2025-12-10T10:14:43Z,5,User.Read;offline_access;Contacts.Read;Mail.Read
pete.rios@contoso.com,DeepSeek,2025-10,1,2025-10-01T16:23:43Z,4,Contacts.Read
caleb.ives@contoso.com,Gemini,2025-09,1,2025-09-17T08:28:38Z,6,User.Read;Mail.Read
nora.hale@contoso.com,ChatGPT,2025-10,5,2025-10-08T18:02:20Z,9,offline_access;Directory.Read.All;Contacts.Read
jenna.sims@contoso.com,Gemini,2026-06,3,2026-06-20T14:43:20Z,18,Mail.Read;Contacts.Read
bella.hobbs@contoso.com,Perplexity,2026-04,3,2026-04-06T09:57:49Z,6,Calendars.Read;Directory.Read.All;User.Read
zoey.frye@contoso.com,Perplexity,2026-06,4,2026-06-15T13:26:07Z,10,Sites.Read.All
zoey.frye@contoso.com,DeepSeek,2026-06,3,2026-06-22T10:56:11Z,9,Sites.Read.All;Directory.Read.All;Files.ReadWrite.All
lena.mori@contoso.com,Midjourney,2026-03,4,2026-03-24T10:24:49Z,9,Calendars.Read;Contacts.Read
mason.cruz@contoso.com,Perplexity,2025-10,3,2025-10-12T15:37:54Z,17,Calendars.Read
will.toney@contoso.com,Gemini,2025-11,2,2025-11-25T15:15:21Z,5,Mail.Read;User.Read
