UPN,Application,YearMonth,SignInCount,DistinctDays,IsGuest,Countries,HasConditionalAccess,LastSignIn
drew.shaw@contoso.com,Midjourney,2026-04,42,21,FALSE,US;DE,TRUE,2026-04-02T07:04:40Z
will.toney@contoso.com,Perplexity,2026-06,3,3,FALSE,US;DE,TRUE,2026-06-19T17:23:53Z
gwen.webb@contoso.com,Perplexity,2025-11,20,6,FALSE,US;DE,FALSE,2025-11-10T19:51:56Z
hana.wong@contoso.com,Perplexity,2026-02,87,13,TRUE,GB;IE,TRUE,2026-02-05T16:23:45Z
gus.mata@contoso.com,Perplexity,2026-02,97,7,FALSE,US;CA,TRUE,2026-02-10T17:34:04Z
ueli.zane@contoso.com,Midjourney,2025-10,22,21,FALSE,US;GB,FALSE,2025-10-01T21:14:50Z
yara.adler@contoso.com,Midjourney,2026-06,100,20,TRUE,GB;IE,TRUE,2026-06-05T18:35:59Z
finn.nash@contoso.com,Claude,2026-02,66,19,FALSE,US;DE,TRUE,2026-02-01T22:20:17Z
ella.hart@contoso.com,Midjourney,2025-11,53,6,FALSE,US;GB,TRUE,2025-11-18T05:49:05Z
noah.holt@contoso.com,Perplexity,2025-11,133,9,FALSE,US;CA,TRUE,2025-11-16T15:20:00Z
cory.vance@contoso.com,Gemini,2025-09,164,5,FALSE,GB;IE,TRUE,2025-09-24T16:40:06Z
rosa.snow@contoso.com,ChatGPT,2026-06,68,3,FALSE,US;CA,TRUE,2026-06-06T00:37:47Z
gwen.webb@contoso.com,Gemini,2025-10,142,18,FALSE,AU;US,TRUE,2025-10-13T07:42:13Z
hana.wong@contoso.com,Gemini,2025-09,178,20,FALSE,AU;US,TRUE,2025-09-19T22:19:12Z
drew.shaw@contoso.com,DeepSeek,2026-02,75,7,TRUE,GB;IE,TRUE,2026-02-08T07:54:56Z
olga.pace@contoso.com,Gemini,2026-01,27,16,FALSE,US;CA,FALSE,2026-01-04T00:13:51Z
holly.otto@contoso.com,Perplexity,2026-05,8,2,FALSE,US,TRUE,2026-05-02T20:18:12Z
yara.adler@contoso.com,DeepSeek,2025-12,22,21,FALSE,US,TRUE,2025-12-14T01:24:55Z
jack.tate@contoso.com,Gemini,2025-12,149,5,FALSE,US;CA,FALSE,2025-12-06T12:03:51Z
will.toney@contoso.com,Midjourney,2026-06,192,13,TRUE,US;DE,FALSE,2026-06-05T16:30:31Z
sara.bell@contoso.com,DeepSeek,2026-06,168,1,FALSE,GB;IE,TRUE,2026-06-09T22:44:53Z
tina.wynn@contoso.com,Perplexity,2026-01,17,14,FALSE,US;GB,TRUE,2026-01-10T22:35:50Z
kara.yost@contoso.com,ChatGPT,2025-10,2,2,TRUE,US;CA,TRUE,2025-10-21T12:07:15Z
dora.judd@contoso.com,Perplexity,2025-11,22,17,FALSE,AU;US,TRUE,2025-11-03T23:10:23Z
seth.vogt@contoso.com,Gemini,2025-10,120,18,TRUE,AU;US,TRUE,2025-10-09T04:21:22Z
quinn.ford@contoso.com,ChatGPT,2025-09,127,13,TRUE,US;CA,FALSE,2025-09-01T15:03:11Z
caleb.ives@contoso.com,Perplexity,2026-06,197,17,FALSE,US;DE,TRUE,2026-06-08T13:12:50Z
iris.lund@contoso.com,Perplexity,2025-09,15,11,FALSE,US;CA,TRUE,2025-09-21T17:16:53Z
liam.beck@contoso.com,Claude,2026-06,184,6,TRUE,US;GB,FALSE,2026-06-05T12:57:53Z
nora.hale@contoso.com,ChatGPT,2026-06,127,12,TRUE,AU;US,TRUE,2026-06-16T04:03:15Z
rosa.snow@contoso.com,Perplexity,2025-11,181,5,FALSE,AU;US,TRUE,2025-11-13T01:52:49Z
xena.marsh@contoso.com,Midjourney,2025-09,194,7,FALSE,US;DE,FALSE,2025-09-20T12:38:45Z
vera.bose@contoso.com,DeepSeek,2026-04,118,22,TRUE,US;CA,TRUE,2026-04-15T19:32:16Z
omar.said@contoso.com,Perplexity,2026-01,167,8,FALSE,AU;US,FALSE,2026-01-24T07:44:57Z
nora.hale@contoso.com,DeepSeek,2025-09,128,11,FALSE,US;CA,TRUE,2025-09-11T00:54:40Z
ravi.iyer@contoso.com,DeepSeek,2025-09,92,8,TRUE,US;CA,TRUE,2025-09-10T17:53:54Z
yara.adler@contoso.com,Claude,2025-10,5,4,FALSE,US;DE,TRUE,2025-10-22T05:51:13Z
gus.mata@contoso.com,Claude,2025-12,148,5,FALSE,US;CA,FALSE,2025-12-27T05:05:24Z
beth.quinn@contoso.com,Perplexity,2026-05,49,1,FALSE,US;GB,FALSE,2026-05-09T04:51:14Z
tom.frey@contoso.com,DeepSeek,2026-02,72,5,FALSE,AU;US,TRUE,2026-02-12T09:40:04Z
gwen.webb@contoso.com,Gemini,2026-05,100,16,FALSE,US;CA,TRUE,2026-05-19T08:00:11Z
bria.lee@contoso.com,Perplexity,2025-10,60,12,TRUE,US;CA,FALSE,2025-10-16T05:18:08Z
zoey.frye@contoso.com,Perplexity,2026-04,15,8,FALSE,US;GB,TRUE,2026-04-01T18:32:46Z
adam.gore@contoso.com,Gemini,2025-10,103,5,FALSE,AU;US,FALSE,2025-10-27T13:37:42Z
ella.hart@contoso.com,ChatGPT,2026-01,162,19,FALSE,GB;IE,TRUE,2026-01-18T15:10:42Z
nora.hale@contoso.com,ChatGPT,2025-12,131,19,TRUE,US;CA,TRUE,2025-12-23T00:41:03Z
wade.crum@contoso.com,ChatGPT,2026-05,128,6,FALSE,US,TRUE,2026-05-20T02:17:00Z
ueli.zane@contoso.com,Perplexity,2026-01,58,17,FALSE,US;CA,FALSE,2026-01-04T06:23:51Z
kyle.brown@contoso.com,Claude,2026-06,151,6,TRUE,US,FALSE,2026-06-03T12:36:56Z
tina.wynn@contoso.com,Perplexity,2026-06,115,7,FALSE,US;GB,FALSE,2026-06-18T14:38:36Z
mira.funk@contoso.com,Perplexity,2025-09,150,18,FALSE,AU;US,TRUE,2025-09-13T14:26:20Z
priya.rao@contoso.com,Gemini,2026-04,33,15,FALSE,US;DE,TRUE,2026-04-08T05:46:06Z
quinn.ford@contoso.com,Claude,2025-10,103,9,FALSE,US;GB,FALSE,2025-10-14T15:05:10Z
mason.cruz@contoso.com,Gemini,2025-11,145,8,FALSE,US;CA,TRUE,2025-11-22T18:14:04Z
vlad.boyd@contoso.com,DeepSeek,2025-09,169,20,FALSE,US,TRUE,2025-09-07T18:58:53Z
ravi.iyer@contoso.com,ChatGPT,2025-12,67,6,FALSE,GB;IE,TRUE,2025-12-09T21:40:50Z
cory.vance@contoso.com,DeepSeek,2025-10,64,3,FALSE,US;CA,FALSE,2025-10-05T18:46:22Z
rosa.snow@contoso.com,DeepSeek,2025-12,119,5,FALSE,US;CA,FALSE,2025-12-23T23:44:00Z
pete.rios@contoso.com,Claude,2026-03,102,18,FALSE,US;DE,FALSE,2026-03-18T10:52:24Z
ian.pratt@contoso.com,Midjourney,2026-05,124,15,FALSE,AU;US,TRUE,2026-05-20T15:02:18Z
uma.roy@contoso.com,Claude,2025-12,120,11,FALSE,US,TRUE,2025-12-17T20:11:56Z
noah.holt@contoso.com,ChatGPT,2025-11,185,9,FALSE,US;DE,TRUE,2025-11-20T21:47:29Z
zoey.frye@contoso.com,Claude,2025-09,12,6,TRUE,US;CA,TRUE,2025-09-19T18:43:08Z
zoey.frye@contoso.com,Claude,2025-11,109,7,FALSE,US;CA,TRUE,2025-11-12T12:58:51Z
cole.page@contoso.com,DeepSeek,2026-04,95,13,FALSE,US;DE,TRUE,2026-04-25T06:41:02Z
ella.hart@contoso.com,Midjourney,2026-01,45,19,TRUE,US;DE,TRUE,2026-01-07T07:32:36Z
liam.beck@contoso.com,DeepSeek,2025-09,87,1,TRUE,GB;IE,FALSE,2025-09-24T04:57:24Z
olga.pace@contoso.com,Midjourney,2025-10,20,9,FALSE,US;CA,TRUE,2025-10-12T19:53:20Z
evan.reed@contoso.com,Gemini,2026-02,194,11,FALSE,US,TRUE,2026-02-13T11:16:58Z
dana.cole@contoso.com,DeepSeek,2026-02,76,1,TRUE,US;GB,TRUE,2026-02-26T23:43:35Z
jade.singh@contoso.com,DeepSeek,2026-01,68,11,FALSE,US;GB,FALSE,2026-01-26T01:37:17Z
wade.crum@contoso.com,Midjourney,2025-09,132,8,FALSE,US;DE,TRUE,2025-09-20T09:35:04Z
faye.diaz@contoso.com,Gemini,2026-03,77,4,FALSE,AU;US,TRUE,2026-03-26T20:46:27Z
quinn.ford@contoso.com,Gemini,2026-03,141,20,TRUE,US;GB,TRUE,2026-03-08T18:47:22Z
ravi.iyer@contoso.com,Perplexity,2026-02,191,2,TRUE,AU;US,TRUE,2026-02-21T09:08:42Z
yuki.egan@contoso.com,DeepSeek,2025-12,149,6,FALSE,US;CA,TRUE,2025-12-06T21:18:51Z
xena.marsh@contoso.com,DeepSeek,2026-05,9,4,FALSE,US;GB,TRUE,2026-05-05T23:44:22Z
mira.funk@contoso.com,Perplexity,2026-03,151,17,TRUE,US,TRUE,2026-03-21T04:02:09Z
mason.cruz@contoso.com,Gemini,2026-03,177,6,FALSE,AU;US,TRUE,2026-03-12T10:14:09Z
yara.adler@contoso.com,Midjourney,2025-09,82,18,TRUE,US;CA,TRUE,2025-09-17T12:38:30Z
