UserPrincipalName,YearMonth,Surface,SourceWorkload,SourceAppHost,PromptCount,ActiveDays,LastActivityDate
alex.park@contoso.com,2025-10,Teams,MicrosoftTeams,MicrosoftTeams,99,22,2025-10-27
alex.park@contoso.com,2025-10,Word,Microsoft365,Word,55,19,2025-10-27
alex.park@contoso.com,2025-10,Excel,Microsoft365,Excel,132,6,2025-10-22
alex.park@contoso.com,2025-10,Outlook,Microsoft365,Outlook,179,15,2025-10-27
alex.park@contoso.com,2025-10,PowerPoint,Microsoft365,PowerPoint,4,2,2025-10-26
alex.park@contoso.com,2025-10,Chat,Microsoft365,M365Chat,133,14,2025-10-24
alex.park@contoso.com,2025-10,Loop,Microsoft365,Loop,16,12,2025-10-27
alex.park@contoso.com,2025-10,OneNote,Microsoft365,OneNote,34,9,2025-10-27
alex.park@contoso.com,2025-10,SharePoint,Microsoft365,SharePoint,1,1,2025-10-06
alex.park@contoso.com,2025-10,Edge,Microsoft365,Edge,4,3,2025-10-25
alex.park@contoso.com,2025-09,Teams,MicrosoftTeams,MicrosoftTeams,30,6,2025-09-27
alex.park@contoso.com,2025-09,Word,Microsoft365,Word,95,18,2025-09-27
alex.park@contoso.com,2025-09,Excel,Microsoft365,Excel,147,5,2025-09-24
alex.park@contoso.com,2025-09,Outlook,Microsoft365,Outlook,103,6,2025-09-15
alex.park@contoso.com,2025-09,PowerPoint,Microsoft365,PowerPoint,125,5,2025-09-26
alex.park@contoso.com,2025-09,Chat,Microsoft365,M365Chat,124,7,2025-09-27
alex.park@contoso.com,2025-09,Loop,Microsoft365,Loop,43,17,2025-09-27
alex.park@contoso.com,2025-09,OneNote,Microsoft365,OneNote,24,12,2025-09-27
alex.park@contoso.com,2025-09,SharePoint,Microsoft365,SharePoint,40,3,2025-09-27
alex.park@contoso.com,2025-09,Edge,Microsoft365,Edge,24,9,2025-09-25
alex.park@contoso.com,2026-01,Teams,MicrosoftTeams,MicrosoftTeams,42,20,2026-01-27
alex.park@contoso.com,2026-01,Word,Microsoft365,Word,186,9,2026-01-27
alex.park@contoso.com,2026-01,Excel,Microsoft365,Excel,148,8,2026-01-24
alex.park@contoso.com,2026-01,Outlook,Microsoft365,Outlook,60,13,2026-01-27
alex.park@contoso.com,2026-01,PowerPoint,Microsoft365,PowerPoint,150,15,2026-01-26
alex.park@contoso.com,2026-01,Chat,Microsoft365,M365Chat,148,16,2026-01-27
