Timestamp,UPN,AISolution,YearMonth,FileName,FolderCategory,FolderPath,SecondsToAI,NameMatchesSensitivePattern,FolderMatchesSensitive
2026-06-12T20:45:45Z,liam.beck@contoso.com,DeepSeek,2026-06,Notes.docx,Desktop,C:/Users/liam.beck/Documents/Desktop,35,0,0
2025-12-15T23:14:44Z,evan.reed@contoso.com,Perplexity,2025-12,Q3_Forecast.xlsx,Documents,C:/Users/evan.reed/Documents/Documents,210,0,0
2025-09-01T06:12:35Z,vlad.boyd@contoso.com,ChatGPT,2025-09,Notes.docx,Desktop,C:/Users/vlad.boyd/Documents/Desktop,109,0,0
2026-03-23T00:18:47Z,ravi.iyer@contoso.com,DeepSeek,2026-03,Headcount.xlsx,Downloads,C:/Users/ravi.iyer/Documents/Downloads,265,0,0
2025-12-23T22:45:49Z,mira.funk@contoso.com,Gemini,2025-12,Contract_v2.docx,SharePoint,C:/Users/mira.funk/Documents/SharePoint,133,0,1
2026-03-17T09:08:12Z,kyle.brown@contoso.com,DeepSeek,2026-03,Roadmap.pptx,SharePoint,C:/Users/kyle.brown/Documents/SharePoint,139,0,0
2026-06-11T07:26:50Z,pete.rios@contoso.com,Claude,2026-06,Headcount.xlsx,Downloads,C:/Users/pete.rios/Documents/Downloads,110,0,0
2026-04-11T12:09:23Z,yuki.egan@contoso.com,Claude,2026-04,Budget_2026.xlsx,Downloads,C:/Users/yuki.egan/Documents/Downloads,86,0,1
2026-06-12T21:46:41Z,mira.funk@contoso.com,ChatGPT,2026-06,Headcount.xlsx,Other,C:/Users/mira.funk/Documents/Other,266,0,0
2026-01-18T12:40:36Z,ueli.zane@contoso.com,Midjourney,2026-01,Review.docx,Documents,C:/Users/ueli.zane/Documents/Documents,15,0,1
2026-02-23T10:56:06Z,ella.hart@contoso.com,Microsoft 365 Copilot,2026-02,Specs.md,Downloads,C:/Users/ella.hart/Documents/Downloads,116,0,1
2025-12-02T19:39:55Z,yara.adler@contoso.com,Microsoft 365 Copilot,2025-12,Contract_v2.docx,SharePoint,C:/Users/yara.adler/Documents/SharePoint,196,0,0
2026-06-17T20:21:02Z,jack.tate@contoso.com,Perplexity,2026-06,Specs.md,Other,C:/Users/jack.tate/Documents/Other,277,0,0
2025-12-05T02:44:22Z,hana.wong@contoso.com,Perplexity,2025-12,Budget_2026.xlsx,Documents,C:/Users/hana.wong/Documents/Documents,168,0,0
2026-05-16T00:17:56Z,jade.singh@contoso.com,Claude,2026-05,Specs.md,Downloads,C:/Users/jade.singh/Documents/Downloads,45,0,1
2025-11-26T16:04:12Z,ueli.zane@contoso.com,Gemini,2025-11,Headcount.xlsx,Documents,C:/Users/ueli.zane/Documents/Documents,7,0,0
2025-12-11T22:02:18Z,finn.nash@contoso.com,DeepSeek,2025-12,Roadmap.pptx,Downloads,C:/Users/finn.nash/Documents/Downloads,79,0,0
